[4160.65119779],[731.9181825],[-2630.02327141]
[4158.73759141],[734.00564173],[-2632.20336634]
[4158.94850596],[734.50642332],[-2631.64702975]
[4160.95810624],[731.06022018],[-2630.810171]
[4160.34576707],[731.93726742],[-2631.5287793]
[4161.21585998],[731.64245584],[-2631.02530112]
[4161.38720888],[734.05327738],[-2630.58920814]
[4159.95224119],[733.88035608],[-2631.67003504]
[4162.17818872],[734.24889209],[-2631.04615369]
[4160.41049627],[732.47509311],[-2631.35219261]
